id,compound_id,"origin","storage_form","maximum_quantity","storage_condition","contact_name","contact_address","contact_email","created_at","updated_at",export,"purity","description","spectra_details","delivery_time","stability",admin_user_id,"public_id","cas_number","taxonomy_class","taxonomy_family","experimental_logp","experimental_solubility","melting_point","food_of_origin","production_method_reference_text","production_method_reference_file_name","production_method_reference_content_type",production_method_reference_file_size,"production_method_reference_updated_at","elemental_formula","minimum_quantity","quantity_units","available_spectra","storage_conditions"
1,9021,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:27:11","2017-01-19 02:36:09",1,NULL,NULL,NULL,NULL,NULL,10,"PC000001","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
609,849,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:30","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000609","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
610,12467,"commercial","solid","200","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:30","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000610","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
611,2558,"commercial","solid","600","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000611","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
612,22952,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000612","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
613,23082,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000613","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
614,22934,"commercial","solid","50","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000614","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
615,22953,"commercial","solid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000615","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
616,22925,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000616","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
617,11910,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:31","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000617","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
618,21468,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000618","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
619,22679,"commercial","solid","50","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000619","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
620,22678,"commercial","liquid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000620","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
621,22662,"commercial","solid","30","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000621","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
622,31003,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000622","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
623,8296,"commercial","liquid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:32","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000623","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
624,12586,"commercial","liquid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:33","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000624","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
625,22666,"commercial","liquid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:36","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000625","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
626,12042,"commercial","solid","40","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:36","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000626","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
627,1195,"commercial","solid","30","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:36","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000627","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
628,22628,"commercial","solid","15","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:37","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000628","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
629,1126,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:37","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000629","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
630,3294,"commercial","liquid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:37","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000630","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
631,12649,"commercial","solid","300","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:39","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000631","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
632,22626,"commercial","solid","150","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:40","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000632","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
633,22668,"commercial","solid","400","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:40","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000633","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
634,1615,"commercial","solid","50","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:40","2017-01-19 02:36:30",1,NULL,NULL,NULL,NULL,NULL,10,"PC000634","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
635,22616,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:40","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000635","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
636,12846,"commercial","liquid","2","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:40","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000636","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
637,11888,"commercial","solid","700","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:41","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000637","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
638,22840,"commercial","liquid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:43","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000638","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
639,9446,"commercial","liquid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:43","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000639","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
640,22894,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:44","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000640","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
641,22828,"commercial","solid","400","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:44","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000641","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
642,28582,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:44","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000642","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
643,22767,"commercial","solid","3","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:44","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000643","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
644,2928,"commercial","solid","200","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:45","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000644","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
645,10584,"commercial","solid","200","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:45","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000645","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
646,23336,"commercial","solid","20","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000646","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
647,22816,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000647","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
648,22747,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000648","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
649,22985,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000649","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
650,22977,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000650","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
651,22625,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000651","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
652,1130,"commercial","solid","60","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:46","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000652","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
653,23020,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:47","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000653","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
654,23325,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:47","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000654","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
655,11933,"commercial","liquid","10","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:47","2017-01-19 02:36:31",1,NULL,NULL,NULL,NULL,NULL,10,"PC000655","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
656,30981,"commercial","liquid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:48","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000656","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
657,22888,"commercial","solid","Upon request","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:48","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000657","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
658,12465,"commercial","liquid","20","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:49","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000658","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
659,22845,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:49","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000659","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
660,8311,"commercial","solid","500","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:49","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000660","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
661,22842,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:50","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000661","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
662,21975,"commercial","solid","800","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:50","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000662","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
663,22574,"commercial","solid","5","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:50","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000663","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
664,23394,"commercial","solid","10","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:50","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000664","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
665,21981,"commercial","solid","40","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:50","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000665","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
666,1196,"commercial","solid","20","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:51","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000666","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
667,23000,"commercial","solid","10","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:51","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000667","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
668,10975,"commercial","solid","60","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:51","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000668","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
669,31101,"commercial","solid",NULL,"temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:52","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000669","","","","","","","","",NULL,NULL,NULL,NULL,"","","",NULL,"---
\"-80°C\": 1
"
670,4235,"commercial","solid","40","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:52","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000670","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
671,23007,"commercial","solid","1","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:52","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000671","","","","","","","","",NULL,NULL,NULL,NULL,"","","g",NULL,"---
\"-80°C\": 1
"
672,12679,"commercial","solid","100","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:52","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000672","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
673,2246,"commercial","solid","60","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:53","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000673","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
674,10568,"commercial","solid","800","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:53","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000674","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
"
675,12253,"commercial","solid","50","temperature: -80 oC","Dr. David Wishart","Departments of Computing Science and Biological Sciences, University of Alberta, Edmonton, Alberta, Canada T6G 2E8","dwishart@ualberta.ca","2015-10-09 22:31:54","2017-01-19 02:36:32",1,NULL,NULL,NULL,NULL,NULL,10,"PC000675","","","","","","","","",NULL,NULL,NULL,NULL,"","","mg",NULL,"---
\"-80°C\": 1
